,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
637,Biſhopſgate street,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
638,Bishopsgate Street Ward,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
639,Biſhopſgate ſtreete,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
640,Biſhopſgate ſtreete,Broad Street,BROA2,Agas Map,Biſhopſgate ſtreete | Bradstrete | Broad St | Broad Street | Broad-ſtreet | Brode Streat | Brodeſtreet | Brodeſtreete | Brodeſtréet | Brodeſtréete | Little Broad Street | Old Broad Street | Threadneedle Street,Streets
641,Bishopsgate streete,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
642,Biſhopſgate ſtréet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
643,Biſhopſgate ſtréete,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
644,Bishopsgate Ward,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
645,Biſhopſgate ward,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
646,Biſhopſgate Ward,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
647,Bishopsgate ward (without),Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
648,Biſhopſgate Warde,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
649,Biſhopſgate warde,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
650,Biſhopſgate-ſtreet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
651,Biſhopſgateſtreet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
652,Bishop’s Gate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
653,Bishop’s Palace,Bishop’s Palace,BISH7,Agas Map,Biſhops Palace | Biſhops Pallace | Bishop’s Palace,Sites
654,Bisshopesgatestrete,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
655,Black Bull Inn,Black Bull Inn (Bishopsgate Street),BLBU2, ,"Black Bull Inn | Black Bull Inn, Bishopsgate Street | blacke Bull | Bull | Bull Inn",Victualling Houses
656,"Black Bull Inn, Bishopsgate Street",Black Bull Inn (Bishopsgate Street),BLBU2, ,"Black Bull Inn | Black Bull Inn, Bishopsgate Street | blacke Bull | Bull | Bull Inn",Victualling Houses
657,Black Eagle Street,Black Eagle Street,BLEA1, ,Black Eagle Street,Streets
658,Black Friars,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
659,Black friers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
660,Black Friers,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
661,Black Fryers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
662,Black Fryers,Blackfriars Theatre,BLAC6,Agas Map,Black Fryers | blacke friers | blacke Fryers | Blackfriar | Blackfriars | Blackfriars Playhouse | Blackfriars playhouse | Blackfriars Theatre | Blackfriars theatre | Blackfriars Theatres | Blackfriars’ Theatre,Playhouses
663,Black Fryers,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
664,Black hall in Woodſtreet,Black Hall,BLAC7, ,Black hall in Woodſtreet | Blacke Hall,Sites
665,Black Horſe Alley,Black Horse Alley,BLAC19, ,Black Horſe Alley,Streets
666,Black Smithes Hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
667,Black Smithes hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
668,Black Swan,Black Swan Inn,BLSW1, ,Black Swan | blacke Swanne | Swan on the Hoop,Victualling Houses
669,Black-friars,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
670,Black-Fryers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
671,Black-Fryers,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
672,Black-fryers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
673,Black-Horſe Court,Black Horse Court,BLAC18, ,Black-Horſe Court,Sites
674,Black-ſmithes Hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
675,Black-wall,Blackwell Hall,BAKE2,Agas Map,Bakewel hall | Bakewell hal | Bakewell hall | Bakkewellehalle | Bay hall | Black-wall | Blackewell hall | Blackwelhall | Blackwell Hall | Blakewell hall | Clifford’s Hall,Sites
676,blacke bull,Black Bull Inn (Smithfield),BLBU1, ,blacke bull,Victualling Houses
677,blacke Bull,Black Bull Inn (Bishopsgate Street),BLBU2, ,"Black Bull Inn | Black Bull Inn, Bishopsgate Street | blacke Bull | Bull | Bull Inn",Victualling Houses
678,blacke Freers church,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
679,Blacke Frers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
680,Blacke Friars,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
681,blacke Friers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
682,Blacke Friers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
683,Blacke Friers,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
684,blacke friers,Blackfriars Theatre,BLAC6,Agas Map,Black Fryers | blacke friers | blacke Fryers | Blackfriar | Blackfriars | Blackfriars Playhouse | Blackfriars playhouse | Blackfriars Theatre | Blackfriars theatre | Blackfriars Theatres | Blackfriars’ Theatre,Playhouses
685,Blacke Friers Church,Blackfriars Monastery,BLAC8, ,Black Friers | Black Fryers | Black-Fryers | blacke Freers church | Blacke Friers | Blacke Friers Church | Blacke-Fryers | Blackfriars Monastery | Blackfriars monastery | church of the Blacke-Fryers | Friars Preachers church,Churches
686,Blacke Fryars,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
687,Blacke Fryers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
688,blacke Fryers,Blackfriars Theatre,BLAC6,Agas Map,Black Fryers | blacke friers | blacke Fryers | Blackfriar | Blackfriars | Blackfriars Playhouse | Blackfriars playhouse | Blackfriars Theatre | Blackfriars theatre | Blackfriars Theatres | Blackfriars’ Theatre,Playhouses
689,Blacke Hall,Black Hall,BLAC7, ,Black hall in Woodſtreet | Blacke Hall,Sites
690,blacke Smithes Hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
691,Blacke Smithes Hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
692,Blacke ſmithes Hall,Blacksmiths’ Hall,BLAC2,Agas Map,Black Smithes Hall | Black Smithes hall | Black-ſmithes Hall | blacke Smithes Hall | Blacke Smithes Hall | Blacke ſmithes Hall | Blacke-smithes Hall | Blackſmithes | Blacksmiths’ Hall,Halls
693,blacke Smithes hall,Queen’s Bridge,QUEE1,Agas Map,blacke Smithes hall | Queenhithe Ward | this warde | this Warde,Bridges
694,blacke Swanne,Black Swan Inn,BLSW1, ,Black Swan | blacke Swanne | Swan on the Hoop,Victualling Houses
695,Blacke-Friers,Blackfriars Precinct,BLAC1,Agas Map,Black Friars | Black friers | Black Fryers | Black-friars | Black-Fryers | Black-fryers | Blacke Frers | Blacke Friars | blacke Friers | Blacke Friers | Blacke Fryars | Blacke Fryers | Blacke-Friers | blacke-Fryars | Blacke-Fryars church | Blacke-Fryers | Blackfriars | Blackfriars liberty | Blackfriars Precinct | Blackfriars precinct | Fryars Preachers Church | houſe of Blacke Fryers | precinct of the Blacke Friers,Sites
